PAYMENT_ID,ORDER_ID,PAYMENT_MODE,PAYMENT_DATE,PAYMENT_STATUS,AMOUNT,LAST_UPDATED
5001,1001,CREDIT_CARD,7/1/2026,SUCCESS,65000,7/21/2026 9:00
5002,1002,UPI,7/2/2026,SUCCESS,50000,7/21/2026 9:00
5003,1003,NET_BANKING,7/3/2026,SUCCESS,7500,7/21/2026 9:00
5004,1004,CASH,7/4/2026,PENDING,2500,7/21/2026 9:00
5005,1005,UPI,7/5/2026,FAILED,200,7/21/2026 9:00
5006,1006,CREDIT_CARD,7/6/2026,SUCCESS,-1200,7/21/2026 9:00
5007,9999,UPI,7/7/2026,SUCCESS,3000,7/21/2026 9:00
5008,1008,DEBIT_CARD,7/8/2026,REFUNDED,3600,7/21/2026 9:00
5009,1009,UPI,7/9/2026,SUCCESS,1500,7/21/2026 9:00
5009,1009,UPI,7/9/2026,SUCCESS,1500,7/21/2026 9:00
