ORDER_ID,CUSTOMER_ID,PRODUCT_ID,QUANTITY,ORDER_DATE,ORDER_STATUS,TOTAL_AMOUNT,LAST_UPDATED
1001,101,201,1,7/1/2026,DELIVERED,65000,7/21/2026 9:00
1002,102,202,2,7/2/2026,DELIVERED,50000,7/21/2026 9:00
1003,104,203,3,7/3/2026,SHIPPED,7500,7/21/2026 9:00
1004,105,205,5,7/4/2026,PENDING,2500,7/21/2026 9:00
1005,           null,206,2,7/5/2026,DELIVERED,200,7/21/2026 9:00
1006,107,207,-1,7/6/2026,DELIVERED,-1200,7/21/2026 9:00
1007,108,999,1,7/7/2026,SHIPPED,3000,7/21/2026 9:00
1008,109,208,2,7/8/2026,CANCELLED,3600,7/21/2026 9:00
1009,110,209,1,7/9/2026,DELIVERED,1500,7/21/2026 9:00
1009,110,209,1,7/9/2026,DELIVERED,1500,7/21/2026 9:00
