PRODUCT_ID,PRODUCT_NAME,CATEGORY,PRICE,STOCK_QUANTITY,STATUS,LAST_UPDATED
201,Laptop,Electronics,65000,20,ACTIVE,7/21/2026 9:00
202,Mobile,Electronics,25000,50,ACTIVE,7/21/2026 9:00
203,Headphones,Electronics,2500,100,ACTIVE,7/21/2026 9:00
204,Office Chair,Furniture,8500,30,ACTIVE,7/21/2026 9:00
205,Water Bottle,Kitchen,500,200,ACTIVE,7/21/2026 9:00
206,Notebook,Stationery,-100,150,ACTIVE,7/21/2026 9:00
207,Mouse,Electronics,1200,-5,ACTIVE,7/21/2026 9:00
208,Keyboard,Electronics,1800,40,DISCONTINUED,7/21/2026 9:00
209,Laptop Bag,Accessories,1500,80,ACTIVE,7/21/2026 9:00
209,Laptop Bag,Accessories,1500,80,ACTIVE,7/21/2026 9:00
